Celebrity Name,Body Shape,Face Shape,Skin Tone,Height Category,Gender,Hair Type,Shoulder Width,Eye Color,Jawline Type,Preferred Outfit,Occasion,Preferred Outfit Color
Deepika Padukone,Hourglass,Oval,Medium,Tall,Female,Straight,Broad,Brown,Defined,Saree,Wedding,"Emerald Green, Gold"
Shah Rukh Khan,Athletic,Oval,Medium,Average,Male,Wavy,Medium,Brown,Sharp,Blazer,Wedding,"Maroon, Gold"
Priyanka Chopra,Hourglass,Round,Medium,Tall,Female,Wavy,Medium,Brown,Soft,Lehenga,Festival,"Deep Red, Purple"
Ranveer Singh,Athletic,Square,Medium,Tall,Male,Straight,Broad,Black,Defined,Kurta-Pajama,Casual,"Bright Blue, Olive Green"
Kareena Kapoor,Pear,Oval,Light,Average,Female,Straight,Medium,Green,Round,Anarkali,Formal,"Navy Blue, Soft Pink"
Salman Khan,Athletic,Oval,Light,Average,Male,Bald,Broad,Brown,Sharp,Kurta,Casual,"Beige, Dark Brown"
Aishwarya Rai,Hourglass,Oval,Light,Tall,Female,Straight,Medium,Blue,Soft,Saree,Formal,"Pastel Blue, Navy"
Hrithik Roshan,Athletic,Oval,Medium,Tall,Male,Straight,Broad,Green,Defined,Dhothi,Wedding,"Deep Burgundy, Ivory"
Alia Bhatt,Petite,Round,Light,Short,Female,Wavy,Narrow,Brown,Soft,Lehenga,Festival,"Pastel Pink, Lavender"
Akshay Kumar,Athletic,Square,Medium,Tall,Male,Straight,Broad,Brown,Sharp,Sherwani,Formal,"Maroon, Gold"
Katrina Kaif,Hourglass,Oval,Light,Tall,Female,Straight,Medium,Hazel,Defined,Saree,Wedding,"Emerald Green, Light Pink"
Anushka Sharma,Hourglass,Oval,Medium,Tall,Female,Straight,Medium,Brown,Soft,Lehenga,Wedding,"Deep Red, Mustard Yellow"
Varun Dhawan,Athletic,Oval,Medium,Average,Male,Wavy,Broad,Brown,Sharp,Kurta-Pajama,Casual,"Olive Green, Black"
Amitabh Bachchan,Rectangular,Square,Light,Tall,Male,Straight,Broad,Black,Defined,Sherwani,Formal,"Navy Blue, Maroon"
Sushant Singh Rajput,Athletic,Oval,Medium,Tall,Male,Wavy,Broad,Brown,Soft,Kurta,Casual,"Dark Green, Ivory"
Sonam Kapoor,Hourglass,Oval,Light,Tall,Female,Straight,Medium,Brown,Defined,Anarkali,Festival,"Pastel Yellow, Rose Pink"
Mahesh Babu,Athletic,Oval,Light,Tall,Male,Straight,Medium,Hazel,Sharp,Kurta,Formal,"Navy Blue, Maroon"
Yami Gautam,Petite,Oval,Light,Short,Female,Wavy,Narrow,Brown,Soft,Lehenga,Festival,"Soft Pink, Lavender"
John Abraham,Athletic,Oval,Medium,Tall,Male,Straight,Broad,Black,Defined,Sherwani,Wedding,"Dark Blue, Maroon"
Madhuri Dixit,Hourglass,Round,Medium,Average,Female,Wavy,Medium,Brown,Soft,Saree,Wedding,"Ruby Red, Gold"
